Identifiant du compteur;Jour;Nom du compteur;Comptage relevé;Anomalie;Valeur modélisée
745;2016-03-24;Calvaire_vers_Ouest;98;NA;154
745;2016-03-27;Calvaire_vers_Ouest;13;NA;29
745;2016-04-06;Calvaire_vers_Ouest;56;NA;150
745;2016-04-11;Calvaire_vers_Ouest;48;NA;127
745;2016-04-13;Calvaire_vers_Ouest;76;NA;148
745;2016-04-26;Calvaire_vers_Ouest;75;NA;124
745;2016-04-27;Calvaire_vers_Ouest;66;NA;127
745;2016-05-06;Calvaire_vers_Ouest;59;NA;130
745;2016-05-07;Calvaire_vers_Ouest;65;NA;65
745;2016-05-24;Calvaire_vers_Ouest;85;NA;142
745;2016-06-03;Calvaire_vers_Ouest;NA;NA;153
745;2016-06-04;Calvaire_vers_Ouest;NA;NA;88
745;2016-06-13;Calvaire_vers_Ouest;58;NA;148
745;2016-06-23;Calvaire_vers_Ouest;112;NA;194
745;2016-07-02;Calvaire_vers_Ouest;0;1;118
745;2016-07-22;Calvaire_vers_Ouest;81;NA;149
745;2016-08-03;Calvaire_vers_Ouest;0;NA;115
745;2016-08-14;Calvaire_vers_Ouest;0;NA;0
745;2016-08-31;Calvaire_vers_Ouest;226;NA;186
745;2016-09-04;Calvaire_vers_Ouest;130;NA;92
745;2016-09-26;Calvaire_vers_Ouest;291;NA;248
745;2016-09-30;Calvaire_vers_Ouest;0;NA;275
745;2016-10-01;Calvaire_vers_Ouest;0;NA;210
745;2016-10-02;Calvaire_vers_Ouest;0;NA;158
745;2016-10-20;Calvaire_vers_Ouest;300;NA;256
745;2016-10-28;Calvaire_vers_Ouest;NA;NA;226
745;2016-11-05;Calvaire_vers_Ouest;NA;NA;147
745;2016-11-06;Calvaire_vers_Ouest;NA;NA;95
745;2016-11-07;Calvaire_vers_Ouest;77;NA;189
745;2016-11-26;Calvaire_vers_Ouest;292;NA;180
745;2016-12-13;Calvaire_vers_Ouest;309;NA;248
745;2016-12-18;Calvaire_vers_Ouest;173;NA;118
745;2016-12-31;Calvaire_vers_Ouest;75;NA;118
745;2017-01-07;Calvaire_vers_Ouest;180;NA;113
745;2017-01-19;Calvaire_vers_Ouest;211;NA;211
745;2017-01-29;Calvaire_vers_Ouest;126;NA;85
745;2017-02-04;Calvaire_vers_Ouest;154;NA;122
745;2017-02-10;Calvaire_vers_Ouest;288;NA;176
745;2017-02-14;Calvaire_vers_Ouest;290;1;170
745;2017-03-02;Calvaire_vers_Ouest;296;NA;225
745;2017-03-06;Calvaire_vers_Ouest;203;NA;201
745;2017-03-09;Calvaire_vers_Ouest;201;NA;232
745;2017-03-18;Calvaire_vers_Ouest;146;NA;149
745;2017-03-23;Calvaire_vers_Ouest;242;NA;215
745;2017-04-04;Calvaire_vers_Ouest;188;NA;204
745;2017-04-07;Calvaire_vers_Ouest;205;NA;210
745;2017-04-19;Calvaire_vers_Ouest;147;NA;199
745;2017-04-29;Calvaire_vers_Ouest;92;NA;120
745;2017-05-08;Calvaire_vers_Ouest;75;NA;86
745;2017-05-11;Calvaire_vers_Ouest;128;NA;202
745;2017-05-26;Calvaire_vers_Ouest;99;NA;207
745;2017-05-31;Calvaire_vers_Ouest;268;NA;207
745;2017-06-06;Calvaire_vers_Ouest;202;NA;208
745;2017-06-25;Calvaire_vers_Ouest;46;NA;123
745;2017-07-01;Calvaire_vers_Ouest;204;NA;171
745;2017-07-27;Calvaire_vers_Ouest;205;NA;189
745;2017-07-29;Calvaire_vers_Ouest;140;NA;110
745;2017-08-04;Calvaire_vers_Ouest;109;NA;158
745;2017-08-05;Calvaire_vers_Ouest;68;NA;89
745;2017-08-17;Calvaire_vers_Ouest;67;NA;157
745;2017-08-25;Calvaire_vers_Ouest;109;NA;185
