Numéro de boucle;Libellé;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Probabilité de présence d'anomalies;Jour de la semaine
0674;Pont Haudaudine vers Sud;2021-05-30;6;3;1;4;1;0;1;3;5;6;8;13;24;19;13;24;21;;;;;;;;Faible;7
0675;Pont Haudaudine vers Nord;2021-05-30;6;2;3;1;0;0;3;2;7;15;15;33;14;18;32;27;31;;;;;;;;Faible;7
0681;Stalingrad vers est;2021-05-30;6;1;3;2;1;2;1;3;2;9;9;18;14;17;11;33;33;;;;;;;;Faible;7
0786;50 Otages Vers Nord;2021-05-30;16;13;8;4;5;1;8;7;35;56;58;110;108;74;104;101;141;;;;;;;;Faible;7
0787;50 Otages Vers Sud;2021-05-30;4;2;2;3;3;6;6;11;41;55;62;81;93;53;69;93;87;;;;;;;;Faible;7
0788;50 Otages Vers Nord;2021-05-30;10;2;5;2;2;1;4;8;29;42;45;85;70;46;193;80;85;;;;;;;;Faible;7
0847;Entrée pont Audibert vers Sud;2021-05-30;20;16;6;5;8;9;15;21;43;48;68;87;87;80;60;126;119;;;;;;;;Faible;7
0880;Madeleine vers Nord;2021-05-30;15;12;5;3;7;7;8;10;25;38;58;62;81;50;48;104;76;;;;;;;;Faible;7
0945;Magellan vers Ouest;2021-05-30;4;5;3;1;1;1;3;7;10;11;29;28;15;41;16;40;56;;;;;;;;Faible;7
0987;Tremie vers Est;2021-05-30;2;0;0;0;1;1;0;0;0;1;2;4;3;2;3;6;7;;;;;;;;Faible;7
0676;Pont Willy Brandt vers Beaulieu;2021-05-30;6;1;1;0;1;2;2;2;2;2;11;18;15;18;11;31;41;;;;;;;;Faible;7
0727;Pont Tabarly vers Nord;2021-05-30;4;0;3;2;2;1;4;0;5;17;23;31;27;20;24;32;33;;;;;;;;Faible;7
0745;Calvaire vers Ouest;2021-05-30;0;1;0;0;1;0;0;1;0;1;0;2;1;1;3;1;3;;;;;;;;Faible;7
0947;Bd Malakoff vers Ouest;2021-05-30;1;2;0;2;0;1;0;2;5;7;28;38;24;27;34;44;49;;;;;;;;Faible;7
0949;avenue de la Libération vers Sud;2021-05-30;0;1;0;0;0;3;4;0;2;2;11;12;23;8;2;5;4;;;;;;;;Faible;7
0960;Sorinières Vers Nord;2021-05-30;0;0;0;0;0;0;0;0;4;5;3;9;2;0;0;6;0;;;;;;;;Faible;7
0989;Kennedy vers Ouest;2021-05-30;4;1;1;0;0;0;4;1;10;10;13;29;17;8;8;24;13;;;;;;;;Faible;7
0997;Van Iseghem vers Sud;2021-05-30;0;1;0;1;0;1;2;2;13;29;33;53;52;23;31;44;68;;;;;;;;Faible;7
0950;avenue de la Libération vers Nord;2021-05-30;1;4;0;0;0;2;6;2;5;21;20;24;22;20;22;22;23;;;;;;;;Faible;7
0667;Entrée pont Audibert vers Nord;2021-05-30;10;9;10;8;2;3;12;9;33;47;74;95;108;94;102;116;136;;;;;;;;Faible;7
0668;De Gaulle vers sud;2021-05-30;3;1;2;3;0;2;3;4;3;14;18;17;29;26;22;28;25;;;;;;;;Faible;7
0669;De Gaulle sortie Clémenceau vers Nord;2021-05-30;1;4;1;2;2;0;4;6;12;15;14;23;25;20;26;38;27;;;;;;;;Faible;7
0673;Pont de Pornic vers Sud;2021-05-30;5;8;2;1;1;1;0;2;4;9;11;8;11;4;13;14;14;;;;;;;;Faible;7
0742;Philippot vers Est;2021-05-30;5;3;8;3;2;5;4;5;15;27;16;33;29;29;61;41;48;;;;;;;;Faible;7
0746;Chemin de halage Tortière vers Sud;2021-05-30;0;3;0;0;0;1;2;1;6;25;30;55;47;26;27;51;81;;;;;;;;Faible;7
0981;Pont Tabarly vers Nord;2021-05-30;0;2;0;1;0;1;1;0;1;10;13;9;14;11;15;10;16;;;;;;;;Faible;7
0994;Ceineray vers Est;2021-05-30;1;0;0;0;0;1;3;2;3;10;25;29;20;12;36;35;35;;;;;;;;Faible;7
0670;Pont de Pirmil vers Sud;2021-05-30;2;5;5;2;0;1;6;9;20;15;19;17;30;13;16;26;33;;;;;;;;Faible;7
0683;pont Anne de Bretagne vers Nord;2021-05-30;1;1;5;0;3;0;1;1;4;15;20;32;35;21;36;36;39;;;;;;;;Faible;7
0725;Pont Tabarly vers Sud;2021-05-30;3;0;1;2;0;1;2;5;8;7;20;27;21;18;8;28;36;;;;;;;;Faible;7
0744;Calvaire vers Est;2021-05-30;3;2;2;1;3;0;0;3;3;19;14;25;30;19;24;16;27;;;;;;;;Faible;7
0986;Tremie vers Ouest;2021-05-30;2;0;0;0;0;0;0;0;8;2;4;3;5;5;2;3;16;;;;;;;;Faible;7
0988;Kennedy vers Est;2021-05-30;1;3;1;0;1;1;1;0;3;9;4;15;9;5;7;14;11;;;;;;;;Faible;7
0666;Pont Audibert vers Sud;2021-05-30;2;2;1;2;0;0;1;5;5;1;4;5;6;7;5;9;15;;;;;;;;Faible;7
