Années de comptage;Identifiant du lieu de comptage;Nom du lieu de comptage;Date complète;Date;Heure;Jour de la semaine;Comptage relevé
2018;1000;Quai de la Fosse vers l'ouest;2018-09-27T17:30:00+02:00;2018-09-27;17:30:00;jeudi;315
2016;1000;Quai de la Fosse vers l'ouest;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;94
2015;1000;Quai de la Fosse vers l'ouest;2015-09-17T14:00:00+02:00;2015-09-17;14:00:00;jeudi;71
2015;1000;Quai de la Fosse vers l'ouest;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;46
2014;1000;Quai de la Fosse vers l'ouest;2014-09-18T14:00:00+02:00;2014-09-18;14:00:00;jeudi;87
2013;1000;Quai de la Fosse vers l'ouest;2013-09-24T14:00:00+02:00;2013-09-24;14:00:00;mardi;67
2010;1000;Quai de la Fosse vers l'ouest;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;43
2009;1000;Quai de la Fosse vers l'est;2009-09-22T17:30:00+02:00;2009-09-22;17:30:00;mardi;90
2008;1000;Quai de la Fosse vers l'est;2008-09-17T14:00:00+02:00;2008-09-17;14:00:00;mercredi;46
2008;1000;Quai de la Fosse vers l'ouest;2008-09-17T14:00:00+02:00;2008-09-17;14:00:00;mercredi;44
2006;1000;Quai de la Fosse vers l'ouest;2006-09-22T14:00:00+02:00;2006-09-22;14:00:00;vendredi;32
2005;1000;Quai de la Fosse vers l'ouest;2005-09-22T14:00:00+02:00;2005-09-22;14:00:00;jeudi;48
2004;1000;Quai de la Fosse vers l'ouest;2004-09-22T17:30:00+02:00;2004-09-22;17:30:00;mercredi;98
2002;1000;Quai de la Fosse vers l'est;2002-09-15T17:30:00+02:00;2002-09-15;17:30:00;dimanche;43
2001;1000;Quai de la Fosse vers l'est;2001-09-15T14:00:00+02:00;2001-09-15;14:00:00;samedi;25
2001;1000;Quai de la Fosse vers l'est;2001-09-22T17:30:00+02:00;2001-09-22;17:30:00;samedi;55
2019;1001;Bd Kennedy devant le Chateau vers l'ouest;2019-09-26T14:00:00+02:00;2019-09-26;14:00:00;jeudi;74
2018;1001;Bd Kennedy devant le Chateau vers l'est;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;107
2016;1001;Bd Kennedy devant le Chateau vers l'est;2016-09-29T17:30:00+02:00;2016-09-29;17:30:00;jeudi;215
2015;1001;Bd Kennedy devant le Chateau vers l'est;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;49
2014;1001;Bd Kennedy devant le Chateau vers l'ouest;2014-09-25T14:00:00+02:00;2014-09-25;14:00:00;jeudi;62
2011;1001;Bd Kennedy devant le Chateau vers l'ouest;2011-09-22T14:00:00+02:00;2011-09-22;14:00:00;jeudi;51
2011;1001;Bd Kennedy devant le Chateau vers l'ouest;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;46
2010;1001;Bd Kennedy devant le Chateau vers l'est;2010-09-15T14:00:00+02:00;2010-09-15;14:00:00;mercredi;37
2009;1001;Bd Kennedy devant le Chateau vers l'ouest;2009-09-22T14:00:00+02:00;2009-09-22;14:00:00;mardi;44
2006;1001;Bd Kennedy devant le Chateau vers l'est;2006-09-22T17:30:00+02:00;2006-09-22;17:30:00;vendredi;62
2006;1001;Bd Kennedy devant le Chateau vers l'est;2006-09-29T14:00:00+02:00;2006-09-29;14:00:00;vendredi;35
2006;1001;Bd Kennedy devant le Chateau vers l'ouest;2006-09-29T14:00:00+02:00;2006-09-29;14:00:00;vendredi;24
2006;1001;Bd Kennedy devant le Chateau vers l'ouest;2006-09-29T17:30:00+02:00;2006-09-29;17:30:00;vendredi;42
2003;1001;Bd Kennedy devant le Chateau vers l'est;2003-09-22T17:30:00+02:00;2003-09-22;17:30:00;lundi;40
2003;1001;Bd Kennedy devant le Chateau vers l'ouest;2003-09-15T14:00:00+02:00;2003-09-15;14:00:00;lundi;40
2001;1001;Bd Kennedy devant le Chateau vers l'est;2001-09-15T17:30:00+02:00;2001-09-15;17:30:00;samedi;18
2001;1001;Bd Kennedy devant le Chateau venant du nord;2001-09-22T14:00:00+02:00;2001-09-22;14:00:00;samedi;
2001;1001;Bd Kennedy devant le Chateau venant du nord;2001-09-22T17:30:00+02:00;2001-09-22;17:30:00;samedi;
2000;1001;Bd Kennedy devant le Chateau vers l'ouest;2000-09-15T14:00:00+02:00;2000-09-15;14:00:00;vendredi;26
2000;1001;Bd Kennedy devant le Chateau vers l'ouest;2000-09-15T17:30:00+02:00;2000-09-15;17:30:00;vendredi;24
1999;1001;Bd Kennedy devant le Chateau vers l'ouest;1999-09-22T17:30:00+02:00;1999-09-22;17:30:00;mercredi;53
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;27
2018;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2018-09-27T14:00:00+02:00;2018-09-27;14:00:00;jeudi;19
2017;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2017-09-21T17:30:00+02:00;2017-09-21;17:30:00;jeudi;76
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;18
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2016-09-29T14:00:00+02:00;2016-09-29;14:00:00;jeudi;20
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2016-09-29T17:30:00+02:00;2016-09-29;17:30:00;jeudi;47
2016;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2016-09-22T14:00:00+02:00;2016-09-22;14:00:00;jeudi;20
2014;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2014-09-18T17:30:00+02:00;2014-09-18;17:30:00;jeudi;56
2014;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2014-09-18T14:00:00+02:00;2014-09-18;14:00:00;jeudi;10
2014;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2014-09-18T14:00:00+02:00;2014-09-18;14:00:00;jeudi;14
2014;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2014-09-25T14:00:00+02:00;2014-09-25;14:00:00;jeudi;12
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2013-10-01T14:00:00+02:00;2013-10-01;14:00:00;mardi;12
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;28
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2013-10-01T14:00:00+02:00;2013-10-01;14:00:00;mardi;12
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2012-09-20T14:00:00+02:00;2012-09-20;14:00:00;jeudi;13
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;44
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2012-09-20T17:30:00+02:00;2012-09-20;17:30:00;jeudi;65
2012;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2012-09-27T17:30:00+02:00;2012-09-27;17:30:00;jeudi;50
2010;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;11
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2009-09-22T17:30:00+02:00;2009-09-22;17:30:00;mardi;34
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2009-09-15T17:30:00+02:00;2009-09-15;17:30:00;mardi;49
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'est;2009-09-22T17:30:00+02:00;2009-09-22;17:30:00;mardi;9
2009;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2009-09-15T14:00:00+02:00;2009-09-15;14:00:00;mardi;6
2008;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2008-09-10T17:30:00+02:00;2008-09-10;17:30:00;mercredi;16
2008;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2008-09-17T17:30:00+02:00;2008-09-17;17:30:00;mercredi;11
2008;1002;Intersection de boulevards Michelet, Orrion et Orieux vers l'ouest;2008-09-10T14:00:00+02:00;2008-09-10;14:00:00;mercredi;11
2007;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le nord;2007-09-12T14:00:00+02:00;2007-09-12;14:00:00;mercredi;19
2007;1002;Intersection de boulevards Michelet, Orrion et Orieux vers le sud;2007-09-12T17:30:00+02:00;2007-09-12;17:30:00;mercredi;57
