Années de comptage;Identifiant;Nom du lieu de comptage;Date complète;Date;Heure;Jour de la semaine;VAE;bicloo;Autres vélos;Total
2011;1003;Pont Audibert rive Nord;2011-09-29T14:00:00+02:00;2011-09-29;14:00:00;jeudi;0;17;108;125
2010;1000;Quai de la Fosse;2010-09-22T17:30:00+02:00;2010-09-22;17:30:00;mercredi;0;13;204;217
2013;1002;Intersection de boulevards Michelet, Orrion et Orieux;2013-10-01T14:00:00+02:00;2013-10-01;14:00:00;mardi;1;2;41;44
2010;1000;Quai de la Fosse;2010-09-15T14:00:00+02:00;2010-09-15;14:00:00;mercredi;1;3;65;69
2010;1004;Cours des 50 otages à l'intersection de la rue des halles;2010-09-22T14:00:00+02:00;2010-09-22;14:00:00;mercredi;1;9;165;175
2013;1001;Bd Kennedy devant le Chateau;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;1;35;172;208
2010;1002;Intersection de boulevards Michelet, Orrion et Orieux;2010-09-15T17:30:00+02:00;2010-09-15;17:30:00;mercredi;2;0;98;100
2014;1002;Intersection de boulevards Michelet, Orrion et Orieux;2014-09-25T14:00:00+02:00;2014-09-25;14:00:00;jeudi;3;5;63;71
2012;1004;Cours des 50 otages à l'intersection de la rue des halles;2012-09-27T14:00:00+02:00;2012-09-27;14:00:00;jeudi;4;13;163;180
2015;1001;Bd Kennedy devant le Chateau;2015-09-24T14:00:00+02:00;2015-09-24;14:00:00;jeudi;5;15;74;94
2014;1000;Quai de la Fosse;2014-09-18T14:00:00+02:00;2014-09-18;14:00:00;jeudi;6;22;126;154
2016;1003;Pont Audibert rive Nord;2016-09-22T14:00:00+02:00;2016-09-22;14:00:00;jeudi;6;35;223;264
2015;1003;Pont Audibert rive Nord;2015-09-17T14:00:00+02:00;2015-09-17;14:00:00;jeudi;7;24;140;171
2013;1003;Pont Audibert rive Nord;2013-10-01T17:30:00+02:00;2013-10-01;17:30:00;mardi;7;29;206;242
