Date;Code INSEE région;Région;TMin (°C);TMax (°C);TMoy (°C)
2016-01-01;52;Pays de la Loire;5.35;10.95;8.15
2016-01-03;52;Pays de la Loire;5.8;10.2;8.0
2016-01-07;52;Pays de la Loire;6.85;12.55;9.7
2016-01-11;52;Pays de la Loire;4.95;10.3;7.62
2016-01-12;52;Pays de la Loire;5.35;9.25;7.3
2016-01-15;52;Pays de la Loire;-0.05;7.25;3.6
2016-01-17;52;Pays de la Loire;-2.55;7.25;2.35
2016-01-19;52;Pays de la Loire;1.1;3.3;2.2
2016-01-25;52;Pays de la Loire;5.15;14.95;10.05
2016-02-02;52;Pays de la Loire;9.5;13.15;11.32
2016-02-10;52;Pays de la Loire;2.15;9.5;5.82
2016-02-12;52;Pays de la Loire;3.0;11.4;7.2
2016-02-13;52;Pays de la Loire;5.2;11.75;8.48
2016-02-15;52;Pays de la Loire;1.9;8.35;5.12
2016-02-18;52;Pays de la Loire;0.45;8.45;4.45
2016-03-03;52;Pays de la Loire;5.65;11.65;8.65
2016-03-04;52;Pays de la Loire;5.3;8.55;6.93
2016-01-08;52;Pays de la Loire;4.3;10.4;7.35
2016-03-09;52;Pays de la Loire;6.45;9.55;8.0
2016-01-18;52;Pays de la Loire;1.5;3.7;2.6
2016-03-16;52;Pays de la Loire;4.1;10.6;7.35
2016-03-18;52;Pays de la Loire;0.85;14.1;7.48
2016-03-20;52;Pays de la Loire;4.35;11.45;7.9
2016-01-21;52;Pays de la Loire;-1.05;3.65;1.3
2016-01-23;52;Pays de la Loire;5.4;11.45;8.43
2016-01-26;52;Pays de la Loire;7.0;13.65;10.32
2016-03-24;52;Pays de la Loire;1.3;12.2;6.75
2016-01-27;52;Pays de la Loire;10.35;14.1;12.22
2016-03-27;52;Pays de la Loire;6.7;13.9;10.3
2016-01-28;52;Pays de la Loire;6.6;9.95;8.27
2016-01-29;52;Pays de la Loire;0.05;10.95;5.5
2016-02-04;52;Pays de la Loire;1.4;12.2;6.8
2016-04-06;52;Pays de la Loire;4.6;13.95;9.28
2016-04-10;52;Pays de la Loire;2.45;18.85;10.65
2016-02-09;52;Pays de la Loire;4.7;12.8;8.75
2016-02-16;52;Pays de la Loire;-2.35;8.25;2.95
2016-02-19;52;Pays de la Loire;-2.2;11.35;4.58
2016-02-24;52;Pays de la Loire;4.85;8.95;6.9
2016-04-30;52;Pays de la Loire;4.95;14.35;9.65
2016-02-25;52;Pays de la Loire;1.05;9.55;5.3
2016-05-03;52;Pays de la Loire;7.25;17.35;12.3
2016-05-04;52;Pays de la Loire;5.1;20.15;12.62
2016-03-06;52;Pays de la Loire;-0.1;10.0;4.95
2016-03-08;52;Pays de la Loire;-2.3;10.4;4.05
2016-03-11;52;Pays de la Loire;4.8;11.3;8.05
2016-05-17;52;Pays de la Loire;5.5;19.0;12.25
2016-05-18;52;Pays de la Loire;9.8;16.2;13.0
2016-05-20;52;Pays de la Loire;12.45;19.95;16.2
2016-05-23;52;Pays de la Loire;8.1;18.75;13.42
2016-03-28;52;Pays de la Loire;8.55;14.1;11.32
2016-05-26;52;Pays de la Loire;10.35;21.55;15.95
2016-05-28;52;Pays de la Loire;13.45;24.1;18.77
2016-05-29;52;Pays de la Loire;13.75;16.6;15.18
2016-04-02;52;Pays de la Loire;0.7;11.5;6.1
2016-05-31;52;Pays de la Loire;11.85;18.05;14.95
2016-04-04;52;Pays de la Loire;7.0;17.35;12.18
2016-04-12;52;Pays de la Loire;3.8;19.15;11.48
2016-04-13;52;Pays de la Loire;4.0;17.65;10.82
2016-04-15;52;Pays de la Loire;8.15;16.35;12.25
2016-04-18;52;Pays de la Loire;-0.05;15.4;7.68
2016-04-22;52;Pays de la Loire;11.5;17.4;14.45
2016-06-21;52;Pays de la Loire;16.5;21.2;18.85
2016-04-25;52;Pays de la Loire;0.35;12.5;6.42
2016-06-26;52;Pays de la Loire;10.35;21.4;15.88
2016-05-07;52;Pays de la Loire;13.0;22.95;17.98
2016-07-02;52;Pays de la Loire;11.85;21.2;16.52
2016-07-04;52;Pays de la Loire;13.9;21.1;17.5
2016-05-11;52;Pays de la Loire;9.2;19.1;14.15
2016-05-12;52;Pays de la Loire;10.0;17.3;13.65
2016-05-14;52;Pays de la Loire;9.25;14.7;11.98
2016-05-19;52;Pays de la Loire;9.9;18.15;14.02
2016-07-14;52;Pays de la Loire;9.45;22.0;15.72
2016-07-17;52;Pays de la Loire;16.55;31.1;23.82
2016-05-27;52;Pays de la Loire;10.3;24.25;17.27
2016-06-03;52;Pays de la Loire;12.15;16.75;14.45
2016-07-22;52;Pays de la Loire;16.25;28.25;22.25
2016-06-10;52;Pays de la Loire;15.65;22.6;19.12
2016-06-11;52;Pays de la Loire;15.2;20.35;17.78
2016-06-13;52;Pays de la Loire;14.05;19.45;16.75
2016-06-14;52;Pays de la Loire;12.55;18.35;15.45
2016-07-30;52;Pays de la Loire;13.5;23.25;18.38
2016-06-15;52;Pays de la Loire;10.35;19.45;14.9
2016-06-16;52;Pays de la Loire;9.9;20.15;15.02
2016-08-08;52;Pays de la Loire;17.0;24.25;20.62
2016-06-23;52;Pays de la Loire;19.4;28.6;24.0
2016-06-24;52;Pays de la Loire;15.65;24.3;19.98
2016-08-14;52;Pays de la Loire;15.75;31.6;23.67
2016-08-15;52;Pays de la Loire;17.1;31.15;24.12
2016-07-15;52;Pays de la Loire;7.45;25.05;16.25
2016-08-23;52;Pays de la Loire;16.55;35.7;26.12
2016-08-24;52;Pays de la Loire;16.55;34.1;25.32
2016-08-25;52;Pays de la Loire;17.95;36.15;27.05
2016-08-30;52;Pays de la Loire;13.45;28.2;20.82
2016-08-31;52;Pays de la Loire;13.1;29.55;21.32
2016-07-26;52;Pays de la Loire;14.55;26.0;20.27
2016-07-29;52;Pays de la Loire;17.9;23.95;20.92
2016-09-03;52;Pays de la Loire;13.15;28.8;20.98
2016-09-06;52;Pays de la Loire;15.55;29.95;22.75
2016-08-03;52;Pays de la Loire;17.8;25.8;21.8
2016-08-07;52;Pays de la Loire;13.05;30.0;21.52
2016-08-12;52;Pays de la Loire;9.85;28.7;19.28
2016-09-18;52;Pays de la Loire;13.95;22.6;18.27
2016-09-19;52;Pays de la Loire;12.7;21.65;17.17
2016-08-19;52;Pays de la Loire;12.85;20.65;16.75
2016-09-21;52;Pays de la Loire;10.25;24.35;17.3
2016-09-23;52;Pays de la Loire;10.9;24.9;17.9
2016-08-29;52;Pays de la Loire;16.95;25.6;21.28
2016-10-03;52;Pays de la Loire;5.7;20.15;12.92
2016-09-01;52;Pays de la Loire;13.55;29.35;21.45
2016-10-04;52;Pays de la Loire;8.5;20.2;14.35
2016-10-07;52;Pays de la Loire;6.35;15.1;10.73
2016-09-08;52;Pays de la Loire;14.2;25.3;19.75
2016-10-09;52;Pays de la Loire;5.75;15.95;10.85
2016-09-10;52;Pays de la Loire;10.55;25.85;18.2
2016-10-10;52;Pays de la Loire;5.0;17.8;11.4
2016-10-12;52;Pays de la Loire;4.8;15.45;10.12
2016-09-15;52;Pays de la Loire;15.15;21.8;18.48
2016-10-14;52;Pays de la Loire;9.3;13.35;11.32
2016-10-17;52;Pays de la Loire;9.9;19.5;14.7
2016-09-17;52;Pays de la Loire;11.0;20.35;15.68
2016-10-20;52;Pays de la Loire;4.6;16.05;10.32
2016-09-25;52;Pays de la Loire;13.8;22.45;18.12
2016-09-30;52;Pays de la Loire;12.8;16.9;14.85
2016-10-24;52;Pays de la Loire;8.85;15.6;12.22
2016-10-01;52;Pays de la Loire;10.5;18.5;14.5
2016-10-05;52;Pays de la Loire;9.7;19.75;14.72
2016-11-02;52;Pays de la Loire;5.1;13.8;9.45
2016-11-03;52;Pays de la Loire;0.95;12.55;6.75
2016-01-04;52;Pays de la Loire;6.15;12.15;9.15
2016-01-05;52;Pays de la Loire;6.35;10.0;8.18
2016-10-16;52;Pays de la Loire;9.95;18.5;14.23
2016-01-10;52;Pays de la Loire;5.0;10.7;7.85
2016-10-18;52;Pays de la Loire;5.3;16.9;11.1
2016-10-19;52;Pays de la Loire;6.5;14.95;10.72
2016-11-13;52;Pays de la Loire;8.9;14.35;11.62
2016-10-21;52;Pays de la Loire;3.75;16.65;10.2
2016-11-14;52;Pays de la Loire;0.85;12.75;6.8
2016-10-22;52;Pays de la Loire;4.1;14.65;9.38
2016-01-20;52;Pays de la Loire;1.3;4.9;3.1
2016-10-27;52;Pays de la Loire;9.65;14.55;12.1
