"id_station","nom_station","date","valeur"
744,Calvaire vers Est,"2015-01-25",105.0
683,pont Anne de Bretagne vers Nord,"2019-07-25",750.0
889,Stade vers Ouest,"2016-01-16",2.0
947,Bd Malakoff vers Ouest,"2019-01-22",222.0
664,Bonduelle vers sud,"2019-12-22",171.0
745,Calvaire vers Ouest,"2017-04-15",43.0
725,Pont Tabarly vers Sud (Bd Sarrebruck),"2019-07-07",249.0
675,Pont Haudaudine vers Nord,"2018-06-30",482.0
664,Bonduelle vers sud,"2019-11-28",865.0
675,Pont Haudaudine vers Nord,"2019-08-20",648.0
669,De Gaulle sortie Clémenceau vers Nord,"2015-06-17",484.0
683,pont Anne de Bretagne vers Nord,"2018-07-28",370.0
907,Stade vers Est,"2017-06-05",3.0
881,Madeleine vers Sud,"2019-08-31",3329.0
664,Bonduelle vers sud,"2014-08-15",242.0
889,Stade vers Ouest,"2019-01-16",25.0
701,Promenade de Bellevue vers Est,"2016-05-20",126.0
701,Promenade de Bellevue vers Est,"2015-03-10",100.0
745,Calvaire vers Ouest,"2017-09-30",169.0
725,Pont Tabarly vers Sud (Bd Sarrebruck),"2019-07-09",574.0
682,pont Anne de Bretagne vers Sud,"2019-05-16",763.0
744,Calvaire vers Est,"2017-02-25",192.0
948,Bd Malakoff vers Est,"2018-06-10",215.0
785,"50 Otages Vers Sud (Jean Bart)","2019-08-03",0.0
682,pont Anne de Bretagne vers Sud,"2018-10-12",722.0
881,Madeleine vers Sud,"2015-01-03",416.0
682,pont Anne de Bretagne vers Sud,"2017-03-31",422.0
664,Bonduelle vers sud,"2015-06-29",647.0
745,Calvaire vers Ouest,"2018-12-03",289.0
745,Calvaire vers Ouest,"2014-04-26",151.0
664,Bonduelle vers sud,"2018-02-01",834.0
744,Calvaire vers Est,"2014-04-27",105.0
725,Pont Tabarly vers Sud (Bd Sarrebruck),"2019-09-28",234.0
701,Promenade de Bellevue vers Est,"2018-07-04",377.0
907,Stade vers Est,"2014-11-28",18.0
682,pont Anne de Bretagne vers Sud,"2016-05-12",329.0
881,Madeleine vers Sud,"2017-01-26",2178.0
701,Promenade de Bellevue vers Est,"2014-03-27",47.0
664,Bonduelle vers sud,"2015-05-24",354.0
744,Calvaire vers Est,"2015-02-04",274.0
907,Stade vers Est,"2014-02-15",5.0
682,pont Anne de Bretagne vers Sud,"2018-01-30",487.0
907,Stade vers Est,"2019-12-15",3.0
101,La Chapelle sur Erdre,"2019-10-10",130.0
